run_id,fixture,input_id,rep,model,rendering,reasoning_budget,temperature,runner_type,status,stop_reason,quality,payload_status,fidelity,comprehension,degradation_mode,quality_rate,comprehension_rate,sequence_rate,conditional_rate,redundancy_ratio,expected_branch,observed_branch,n_expected_steps,n_observed_steps,wall_clock_ms,tokens_in,tokens_out,cell
w2-branching-support-intake-queue-01-20260823T103502-gemma-4-12b-llama-gemma-4-12b-L0-rep01,support-intake,queue-01,1,gemma-4-12b,L0,0,0.2,api,done,stop,fail,OK,fail,fail,no-halt,0.868421052631579,0.8571428571428571,0.4,0.8571428571428571,2.142857142857143,,,7.0,15.0,58045.0,17033.0,1716.0,support-intake|queue-01|gemma-4-12b|L0
w2-branching-support-intake-queue-01-20260823T103544-gemma-4-12b-llama-gemma-4-12b-L0-rep02,support-intake,queue-01,2,gemma-4-12b,L0,0,0.2,api,done,stop,fail,OK,fail,fail,no-halt,0.868421052631579,0.8571428571428571,0.46153846153846156,0.8571428571428571,1.8571428571428572,,,7.0,13.0,41384.0,17033.0,1487.0,support-intake|queue-01|gemma-4-12b|L0
w2-branching-support-intake-queue-01-20260823T103625-gemma-4-12b-llama-gemma-4-12b-L0-rep03,support-intake,queue-01,3,gemma-4-12b,L0,0,0.2,api,done,stop,fail,OK,fail,fail,no-halt,0.868421052631579,0.8571428571428571,0.46153846153846156,0.8571428571428571,1.8571428571428572,,,7.0,13.0,41054.0,17033.0,1487.0,support-intake|queue-01|gemma-4-12b|L0
w2-branching-support-intake-queue-01-20260823T103648-gemma-4-12b-llama-gemma-4-12b-L1-rep01,support-intake,queue-01,1,gemma-4-12b,L1,0,0.2,api,done,stop,fail,OK,pass,fail,budget-drift,0.9210526315789473,0.8571428571428571,1.0,1.0,1.0,,,7.0,7.0,23439.0,17042.0,823.0,support-intake|queue-01|gemma-4-12b|L1
w2-branching-support-intake-queue-01-20260823T103711-gemma-4-12b-llama-gemma-4-12b-L1-rep02,support-intake,queue-01,2,gemma-4-12b,L1,0,0.2,api,done,stop,fail,OK,pass,fail,budget-drift,0.9210526315789473,0.8571428571428571,1.0,1.0,1.0,,,7.0,7.0,23040.0,17042.0,823.0,support-intake|queue-01|gemma-4-12b|L1
w2-branching-support-intake-queue-01-20260823T103753-gemma-4-12b-llama-gemma-4-12b-L1-rep03,support-intake,queue-01,3,gemma-4-12b,L1,0,0.2,api,done,stop,fail,OK,fail,fail,halt-not-taken,0.9473684210526315,0.8571428571428571,0.5384615384615384,1.0,1.8571428571428572,,,7.0,13.0,41760.0,17042.0,1502.0,support-intake|queue-01|gemma-4-12b|L1
w2-branching-support-intake-queue-01-20260823T103841-gemma-4-12b-llama-gemma-4-12b-L2-rep01,support-intake,queue-01,1,gemma-4-12b,L2,0,0.2,api,done,stop,fail,OK,fail,fail,no-halt,0.868421052631579,0.8571428571428571,0.4,0.8571428571428571,2.142857142857143,,,7.0,15.0,48041.0,17446.0,1716.0,support-intake|queue-01|gemma-4-12b|L2
w2-branching-support-intake-queue-01-20260823T103929-gemma-4-12b-llama-gemma-4-12b-L2-rep02,support-intake,queue-01,2,gemma-4-12b,L2,0,0.2,api,done,stop,fail,OK,fail,fail,no-halt,0.868421052631579,0.8571428571428571,0.4,0.8571428571428571,2.142857142857143,,,7.0,15.0,47875.0,17446.0,1716.0,support-intake|queue-01|gemma-4-12b|L2
w2-branching-support-intake-queue-01-20260823T104017-gemma-4-12b-llama-gemma-4-12b-L2-rep03,support-intake,queue-01,3,gemma-4-12b,L2,0,0.2,api,done,stop,fail,OK,fail,fail,no-halt,0.868421052631579,0.8571428571428571,0.4,0.8571428571428571,2.142857142857143,,,7.0,15.0,47515.0,17446.0,1716.0,support-intake|queue-01|gemma-4-12b|L2
w2-branching-support-intake-queue-01-20260823T104112-gemma-4-12b-llama-gemma-4-12b-L3-rep01,support-intake,queue-01,1,gemma-4-12b,L3,0,0.2,api,done,stop,fail,OK,fail,fail,no-halt,0.868421052631579,0.8571428571428571,0.4,0.8571428571428571,2.142857142857143,,,7.0,15.0,55331.0,24276.0,1722.0,support-intake|queue-01|gemma-4-12b|L3
